ESC signal (Âµs),Thrust (N),Motor Optical Speed (RPM)
1154.2278750000003,0.15040256847857886,3414
1157.8676624999998,0.14224771519413887,3740
1165.6512749999997,0.18229528410162135,3942
1169.6527437499994,0.17863964111599986,4296
1177.5027562500002,0.21835100164586532,4506
1181.54161875,0.21999863040317644,4839
1189.2011374999997,0.2609580745285836,5044
1193.2068999999997,0.26483139443743975,5365
1201.0515812500003,0.31234810662690776,5628
1204.8922874999996,0.32034177928879976,5901
1212.82253125,0.3676797665388155,6166
1216.4890124999997,0.3775365293400501,6403
1224.7303875000002,0.4299052767649791,6714
1228.028225,0.4383304260762347,6897
1236.3413375,0.4921867294065289,7235
1239.6613062499996,0.4985106178990758,7431
1248.1233875,0.5662009405161652,7747
1251.2819312499996,0.5608487468540351,7890
1260.011975,0.6404461217962572,8263
1263.2424312499998,0.628604981821926,8390
1271.8095562500002,0.7060490445742919,8754
1275.0010562499997,0.706768721592821,8883
1283.5381375,0.7854348353315885,9264
1286.74376875,0.7774371054598673,9340
1295.5440124999998,0.8697151304797888,9759
1298.7533687500004,0.8610711964746969,9833
1307.30158125,0.9494447039961915,10239
1310.6522437499996,0.9463263297523965,10300
1318.9236812499998,1.0359429428252913,10702
1322.3552312499996,1.0195422121307824,10705
1330.6987125,1.1232705279624893,11158
1334.0596062499997,1.1185187459664823,11185
1342.5631312499997,1.2066212166395711,11594
1345.8298062500003,1.1941462449447773,11614
1354.40835625,1.2992448730107908,12038
1357.6726687499997,1.2847480330315986,12051
1366.1948625,1.401031820863012,12506
1369.4811437499998,1.3776844476615098,12441
1378.07539375,1.4958065808064498,12926
1381.4664374999998,1.4709764566545678,12839
1390.00114375,1.5883009949662816,13343
1393.3182812499997,1.5684226054040133,13236
1401.89846875,1.6804342759099578,13740
1405.15480625,1.6657810533396367,13635
1413.73905625,1.7884956364502271,14142
1417.0393374999999,1.7648360588753336,14039
1425.52159375,1.9054682706596109,14550
1428.9821874999993,1.864958948347507,14415
1437.3086375,2.00945931506021,14950
1440.5838999999996,1.957541984155475,14802
1449.11163125,2.1031152266959277,15325
1452.4192749999997,2.062242368690177,15177
1461.16305625,2.215995389353607,15728
1464.1251499999998,2.1797760921711054,15546
1472.9319624999996,2.337101856499537,16108
1475.9176062499998,2.3023538621506034,15927
1484.9795937499998,2.45497197183259,16485
1487.6615749999996,2.4243099893480395,16283
1497.10904375,2.5751501272142905,16870
1499.3455312499998,2.539601768605627,16639
1509.015425,2.705159192800811,17291
1511.1446812499998,2.6738375329229456,17095
1521.0420875000002,2.8368003731635416,17669
1523.0178062499995,2.764712940348388,17414
1533.0903875000001,2.9851997237143375,18095
1534.7468124999998,2.890717415209749,17786
1545.0447375000003,3.1149888968364188,18478
1546.5611624999997,3.051462314365784,18200
1556.9250749999999,3.275507072564453,18888
1558.6184187499996,3.196162264559467,18622
1568.822625,3.4297763143282767,19308
1570.50291875,3.3505899175193363,19032
1580.4303875000003,3.5859531370682345,19709
1582.2518937499997,3.4771584323896385,19382
1592.2069625000001,3.751784180602039,20137
1594.074875,3.6158978380881823,19775
1604.0249374999999,3.89367870044874,20523
1605.692525,3.7949384921619997,20182
1615.6910937499997,4.068773292164783,20925
1617.2432375000003,3.997849941046622,20616
1627.4597937499998,4.238616126932656,21329
1629.0005374999996,4.129097494165845,20979
1639.339575,4.404463787025486,21767
1640.6925499999993,4.308963991223233,21396
1651.2859250000001,4.594072018754252,22202
1652.3005749999998,4.517177784092908,21803
1663.0514562499998,4.908796847207114,22934
1663.9737687499996,4.755263352059111,22307
1674.89065,5.305259450340979,23580
1675.7939687499997,5.158530436113937,23147
1686.6685499999999,5.5656686245364195,24034
1687.6421687499994,5.42135399633579,23577
1698.7007312500002,5.785362984973138,24454
1699.4892937500001,5.664681347852961,24027
1710.49014375,6.030599939147792,24917
1711.36858125,5.9396012091601165,24536
1722.33210625,6.341976170931561,25432
1723.0692874999997,6.216773348113254,25020
1734.1917937500002,6.582203052547287,25874
1734.9590437499999,6.517667480591126,25486
1745.9080375,6.828166718083791,26348
1746.8993624999996,6.822967950649998,25927
1757.78643125,7.099593958696495,26770
1758.6355875000002,7.058169804803675,26353
1769.56990625,7.37524569634593,27142
1770.45988125,7.317637373987665,26774
1781.4575187499995,7.646483508185744,27546
1782.365825,7.542592350075586,27141
1793.5481062500003,7.904392084107692,27930
1794.228025,7.781920095835309,27548
1805.4782875,8.13878249629562,28257
1805.9900499999997,8.000682634259707,27912
1817.12949375,8.365923103780705,28591
1817.89440625,8.244740560488703,28253
1828.9455312500002,8.625578993966984,28907
1829.8766124999995,8.57408076037514,28610
1840.7156437500003,8.860318713919897,29180
1841.55975,8.891745612004922,28901
1852.5577500000004,9.142549307312994,29457
1853.3550687500003,9.185196259937374,29215
